Name,Price,Stores,Rating,Votes,Switches,Colors
HyperX Alloy Elite RGB (Cherry MX Red),127.90 €,σε 4 καταστήματα,4.8,6,Cherry MX Red,0
Dell Alienware Mechanical AW310K Dark side of the moon,79.00 €,σε 19 καταστήματα,5.0,1,Cherry MX Red,0
A4Tech Bloody B930 (LK Libra Brown),59.99 €,σε 3 καταστήματα,5.0,4,LK Libra Brown,0
Redragon S101-BA,99.90 €,στο Nextspot Store,5.0,5,Μεμβράνης,0
Motospeed CK103 Black (Outemu Blue),41.70 €,σε 9 καταστήματα,4.8,45,Outemu Blue,2
Motospeed CK62 RGB Black (Outemu Red),50.37 €,σε 8 καταστήματα,4.4,27,Outemu Red,2
Trust GXT 830-RW Avonn,18.00 €,σε 16 καταστήματα,4.7,6,Μεμβράνης,2
Logitech G613,99.98 €,σε 16 καταστήματα,4.4,8,Romer-G Tactile,0
Patriot Viper V760,96.60 €,σε 6 καταστήματα,5.0,6,Kailh Brown,0
Motospeed CK888 Silver (Outemu Blue),46.70 €,σε 9 καταστήματα,4.4,82,Outemu Blue,0
FanTech K613L,24.80 €,στο Laptopolis,5.0,3,Μεμβράνης,0
Xtrike Me GK-980,24.80 €,σε 2 καταστήματα,5.0,2,Φωτιζόμενα Πλήκτρα,0
Corsair K65 Lux RGB,187.00 €,στο Allaboutoffice,5.0,7,Cherry MX Red,0
Motospeed K95 (Outemu Blue),29.79 €,σε 11 καταστήματα,4.1,7,Outemu Blue,0
CoolerMaster CK530 (Gateron Red),79.79 €,σε 4 καταστήματα,5.0,3,Gateron Red,0
Dell Alienware AW510K Dark Side of the Moon,129.90 €,σε 16 καταστήματα,5.0,1,Cherry MX Red Low Profile,0
Corsair K65 RGB Rapidfire,145.00 €,σε 3 καταστήματα,5.0,5,Cherry MX Speed,0
Fury Thunderstreak 4W1,24.00 €,σε 9 καταστήματα,4.2,51,Φωτιζόμενα Πλήκτρα,0
Spirit of Gamer Xpert G700,69.50 €,σε 3 καταστήματα,5.0,2,Custom Blue,0
Redragon Visnu RGB,48.50 €,σε 2 καταστήματα,5.0,4,Custom Blue,0
Motospeed CK103 Side Laser (Outemu Blue),54.85 €,σε 6 καταστήματα,5.0,2,Outemu Blue,0
Motospeed CK98,69.08 €,σε 9 καταστήματα,5.0,3,Kailh Box White,0
Motospeed GK82 Pink (Outemu Red),45.00 €,σε 5 καταστήματα,5.0,4,Outemu Red,0
Corsair K95 RGB Platinum Black (Cherry MX Brown),229.00 €,σε 2 καταστήματα,4.6,18,Cherry MX Brown,0
Razer Tartarus Pro Black,128.50 €,σε 19 καταστήματα,4.5,4,Razer Analog Optical,0
Corsair K70 RGB MK.2 (Cherry MX Brown),176.50 €,σε 3 καταστήματα,4.9,15,Cherry MX Brown,0
CoolerMaster Devastator III RGB,33.99 €,σε 7 καταστήματα,4.2,50,Μεμβράνης,0
Roccat Vulcan 120 Aimo,219.00 €,στο Bestdeals,5.0,3,Titan Tactile,0
Spartan Gear Centaur,15.88 €,σε 9 καταστήματα,4.4,8,Μεμβράνης,0
Motospeed GK82 (Outemu Brown),47.00 €,σε 2 καταστήματα,5.0,4,Outemu Brown,0
Razer BlackWidow Ultimate Water Resistant,119.00 €,στο TonerHouse,4.6,11,Φωτιζόμενα Πλήκτρα,0
Logitech G513 Carbon (Romer-G Tactile),139.00 €,σε 8 καταστήματα,4.5,24,Romer-G Tactile,0
Motospeed CK61 (Outemu Red),41.69 €,σε 9 καταστήματα,4.4,28,Outemu Red,0
Sades K13 Sickle (Kailh Red),54.73 €,σε 38 καταστήματα,4.0,1,Kailh Red,0
Cougar Vantar,55.00 €,στο Bestdeals,4.8,5,Μεμβράνης,0
Patriot Viper 770,108.50 €,σε 9 καταστήματα,4.5,10,Kailh Red,0
HyperX Alloy FPS (Cherry MX Blue),89.90 €,στο Plaisio,4.6,25,Cherry MX Blue,0
Corsair K70 RGB MK.2 Low Profile RAPIDFIRE (Cherry MX Speed),134.00 €,σε 22 καταστήματα,4.0,1,Cherry MX Speed,0
Redragon Kala RGB LED,48.10 €,σε 3 καταστήματα,4.8,6,Custom Blue,0
Corsair K70 Lux (Cherry MX Brown),170.00 €,στο Allaboutoffice,4.6,28,Cherry MX Brown,0
CoolerMaster MS110,48.91 €,σε 5 καταστήματα,3.9,17,Μεμβράνης,0
HyperX Alloy FPS (Cherry MX Red),100.61 €,στο MG Manager,4.6,25,Cherry MX Red,0
Genesis Thor 300 TKL (Outemu Blue),39.90 €,σε 2 καταστήματα,5.0,2,Outemu Blue,0
Motospeed CK87s White (Outemu Red),53.00 €,στο TerrabyteNet,5.0,2,Outemu Red,0
Trust GXT 860,39.49 €,σε 13 καταστήματα,4.7,3,Μεμβράνης,0
Zeroground KB-1600GUMS,18.90 €,σε 34 καταστήματα,3.4,24,Μεμβράνης,0
HyperX Alloy Origins,115.99 €,σε 10 καταστήματα,5.0,8,HyperX Aqua,0
Genesis Rhod 400 RGB,22.40 €,σε 3 καταστήματα,4.6,9,Μεμβράνης,0
CoolerMaster SK621,218.36 €,στο MG Manager,5.0,2,Cherry MX Red Low Profile,0
Razer Huntsman Mini (Razer Clicky),119.90 €,σε 4 καταστήματα,5.0,1,Razer Clicky,0
Motospeed CK62 RGB Black (Outemu Blue),44.38 €,σε 15 καταστήματα,4.4,27,Outemu Blue,2
Motospeed CK80 Silver (Silver Switches),55.00 €,σε 10 καταστήματα,5.0,2,Custom Silver,2
Motospeed CK62 RGB White (Outemu Blue),40.00 €,σε 6 καταστήματα,4.4,27,Outemu Blue,2
Razer Huntsman Quartz Pink,163.90 €,σε 13 καταστήματα,4.5,27,Razer Clicky,3
Armaggeddon MKO 13R Enterprise Black,63.00 €,σε 12 καταστήματα,5.0,1,Custom Mechanical,2
Spirit of Gamer Elite K10,22.60 €,σε 11 καταστήματα,5.0,2,Μεμβράνης,0
Razer BlackWidow Ultimate 2016,179.90 €,στο Videorama,4.5,81,Razer Green,0
Cougar Deathfire EX,50.00 €,σε 2 καταστήματα,4.8,5,Μεμβράνης,0
Corsair K63,99.99 €,σε 2 καταστήματα,5.0,3,Cherry MX Red,0
White Shark Samurai,24.20 €,σε 15 καταστήματα,4.3,6,Μεμβράνης,0
Trust GXT 1180RW,36.99 €,σε 15 καταστήματα,3.9,11,Μεμβράνης,0
Sades Frost Staff,65.10 €,σε 35 καταστήματα,0.0,,LK Blue,0
HP Omen 1100,69.90 €,σε 17 καταστήματα,5.0,1,Custom Mechanical,0
A4Tech Bloody B2500,45.40 €,σε 36 καταστήματα,3.0,1,Μεμβράνης,0
Trust GXT 856 Torac,23.80 €,σε 8 καταστήματα,4.5,2,Μεμβράνης,0
HyperX Alloy FPS Pro (Cherry MX Blue),78.10 €,σε 7 καταστήματα,4.5,37,Cherry MX Blue,0
iMice AK-400 Black,18.41 €,σε 8 καταστήματα,5.0,1,-,0
Motospeed CK99 RGB (Cherry MX Red),75.34 €,σε 9 καταστήματα,5.0,1,Cherry MX Red,0
Sharkoon Skiller SGK4,36.90 €,σε 3 καταστήματα,5.0,2,Μεμβράνης,0
Canyon Argama Gaming Set,72.80 €,σε 7 καταστήματα,5.0,1,Σετ Πληκτρολόγιο & Ποντίκι,0
Powertech Roar PT-184,19.00 €,σε 15 καταστήματα,5.0,2,Μεμβράνης,0
Roccat Isku+ Force FX,65.41 €,σε 6 καταστήματα,5.0,2,Μεμβράνης,0
Motospeed K70L,14.00 €,σε 5 καταστήματα,5.0,1,Φωτιζόμενα Πλήκτρα,0
Corsair K70 Lux RGB (Cherry MX Red),161.49 €,στο The Console Club,4.4,48,Cherry MX Red,0
Logitech G915 Lightspeed (GL Clicky),229.90 €,σε 7 καταστήματα,5.0,5,GL Clicky,0
Patriot Viper 730,54.50 €,σε 5 καταστήματα,4.4,16,Kailh Brown,0
A4Tech Bloody B975 (LK Libra Orange),60.06 €,σε 9 καταστήματα,5.0,1,LK Libra Orange,0
Genesis Thor 300 TKL (Outemu Red),55.00 €,στο Tetrabyte,4.4,17,Outemu Red,0
Motospeed CK104 Orion Special Edition RGB Silver (Outemu Blue),37.30 €,σε 5 καταστήματα,5.0,3,Outemu Blue,0
Asus ROG Claymore Core with Numpad,189.90 €,σε 4 καταστήματα,4.5,10,Cherry MX Brown,0
Spartan Gear Lochos (Xinda Blue),27.80 €,σε 3 καταστήματα,5.0,1,Xinda Blue,0
Xtrike Me GK-979 (Custom Blue),23.29 €,σε 3 καταστήματα,4.5,2,Custom Blue,0
Armaggeddon MKA-17 ProGaming,79.40 €,σε 12 καταστήματα,4.0,3,Custom Blue,0
Lamtech LAM021325,11.00 €,σε 9 καταστήματα,3.8,5,Φωτιζόμενα Πλήκτρα,0
Armaggeddon AK-999 SFX,18.90 €,σε 12 καταστήματα,4.5,2,Μεμβράνης,0
Logitech G815 Lightsync RGB (GL Clicky),179.90 €,σε 6 καταστήματα,5.0,1,GL Clicky,0
Savio Tempest RX Green (Outemu Brown),28.38 €,σε 2 καταστήματα,5.0,1,Outemu Brown,0
Asus Sagaris GK1100,96.60 €,σε 4 καταστήματα,5.0,2,Custom Mechanical,0
Redragon K556 RGB,54.01 €,στο Gamefreak,5.0,2,Custom Brown,0
Genesis Thor 200 RGB,33.21 €,σε 9 καταστήματα,4.0,7,Custom Mechanical,0
Razer Ornata V2,99.40 €,σε 18 καταστήματα,0.0,,Φωτιζόμενα Πλήκτρα,0
Nedis Single-Handed,31.55 €,σε 23 καταστήματα,0.0,,Μεμβράνης,0
Motospeed K83 (Outemu Blue),33.52 €,σε 11 καταστήματα,3.7,29,Outemu Blue,0
Razer Tartarus v2,70.36 €,σε 24 καταστήματα,3.6,5,Μεμβράνης,0
Sades SA-D10,38.53 €,σε 22 καταστήματα,0.0,,Φωτιζόμενα Πλήκτρα,0
Motospeed K27 (Outemu Blue),20.64 €,σε 3 καταστήματα,4.7,7,Outemu Blue,0
Redragon Anala K558,55.00 €,στο Techaway,5.0,2,Outemu Blue,0
CMK-188 Rainbow,14.33 €,σε 4 καταστήματα,3.9,10,Μεμβράνης,0
Sharkoon Skiller SGK5,38.56 €,σε 3 καταστήματα,5.0,1,Μεμβράνης,0
FanTech Pantheon MK871 Tournament Edition,64.00 €,σε 2 καταστήματα,5.0,2,Kailh Blue,0
Motospeed K24,19.00 €,στο BBshop,5.0,1,Outemu Blue,0
Motospeed Inflictor CK104 RGB Silver (Outemu Brown),35.22 €,σε 11 καταστήματα,4.7,914,Outemu Brown,2
Motospeed CK89 Black (Kaili Box White),61.52 €,σε 7 καταστήματα,5.0,2,Kailh Box White,2
Marvo KG959G,44.64 €,σε 5 καταστήματα,5.0,1,Outemu Blue,0
Creative Sound Blaster X Vanguard K08,99.00 €,στο Kotsovolos,4.3,18,Press,0
Sharkoon PureWriter TKL RGB,77.98 €,σε 3 καταστήματα,5.0,1,Kailh Blue,0
Hori Tactical Assault Commander Pro M2,126.81 €,σε 5 καταστήματα,5.0,1,Custom Mechanical,0
Marvo CM303,47.90 €,σε 2 καταστήματα,5.0,1,Μεμβράνης,0
CoolerMaster SK650,144.89 €,σε 4 καταστήματα,5.0,1,Cherry MX Red Low Profile,0
Asus TUF Gaming Combo,132.59 €,στο MG Manager,5.0,1,Μεμβράνης,0
Esperanza Illuminated EK133,9.64 €,σε 5 καταστήματα,5.0,1,Μεμβράνης,0
Esperanza Illuminated Hunter,13.60 €,σε 9 καταστήματα,4.5,2,Μεμβράνης,0
Cougar Aurora,38.00 €,στο PC1,5.0,1,Μεμβράνης,0
A4Tech Bloody B930 (LK Libra Orange),55.17 €,σε 2 καταστήματα,5.0,4,LK Libra Orange,0
Weibo WB-570,15.60 €,σε 2 καταστήματα,4.5,2,Φωτιζόμενα Πλήκτρα,0
Roccat Vulcan 121 Aimo,187.90 €,σε 4 καταστήματα,5.0,1,Custom Mechanical,0
Logitech G915 Lightspeed (GL Linear),260.00 €,σε 2 καταστήματα,5.0,5,GL Linear,0
Corsair K57 RGB,169.90 €,στο Nextspot Store,5.0,1,Μεμβράνης,0
Zeroground KB-2200G Shoyen,20.90 €,σε 5 καταστήματα,4.5,4,Μεμβράνης,0
Gamesir GK100,44.90 €,στο Kooqie,4.4,5,Custom Blue,0
HAMA uRAGE Illumination 2in1,17.65 €,στο Techstores,5.0,1,Μεμβράνης,0
Zeroground KB-2100G Soki,15.90 €,σε 7 καταστήματα,4.0,26,Μεμβράνης,0
Tracer Commando,18.50 €,σε 5 καταστήματα,4.7,3,Μεμβράνης,0
LogiLink Illuminated one-hand gaming keyboard,19.00 €,στο PC1,5.0,1,Φωτιζόμενα Πλήκτρα,0
ADX Firefight ADXOK0119,44.90 €,στο Kotsovolos,5.0,1,Custom Mechanical,0
Sharkoon Skiller Mech SGK3 (Kailh Blue),63.00 €,στο PC1,5.0,1,Kailh Blue,0
ADX ADXA0419,39.90 €,στο Kotsovolos,5.0,1,Μεμβράνης,0
Motospeed CK61 (Kailh Short),59.90 €,στο BBshop,4.4,28,Kailh Short,0
Tracer Battle Heroes Shinook USB,14.85 €,σε 2 καταστήματα,4.8,4,Μεμβράνης,0
Razer Blackwidow Lite Stormtrooper Edition,94.68 €,σε 2 καταστήματα,5.0,1,Razer Orange,0
Redragon K505 RGB LED Backlit,28.00 €,σε 3 καταστήματα,5.0,1,Full Size,0
Gamdias Hermes P2,77.90 €,σε 2 καταστήματα,5.0,1,Gamdias,0
CoolerMaster CK550 (Gateron Blue),90.37 €,στο MG Manager,4.5,23,Gateron Blue,0
Zeroground KB-1800GUHMS,28.99 €,σε 9 καταστήματα,3.7,16,Μεμβράνης,0
Azio Mk Retro,159.00 €,στο Bestdeals,5.0,2,Custom Blue,0
Razer Blackwidow Ultimate 2017,114.00 €,στο Bestdeals,4.5,2,Φωτιζόμενα Πλήκτρα,0
Redragon Visnu R,38.00 €,στο Techaway,4.5,2,Custom Mechanical,0
Roccat Vulcan 100 Aimo,179.00 €,σε 2 καταστήματα,5.0,1,Titan Tactile,0
Rebeltec Patrol,10.90 €,σε 5 καταστήματα,4.5,2,Μεμβράνης,0
Omega OK-26 M-Dia,5.95 €,σε 4 καταστήματα,4.3,3,Μεμβράνης,0
A4Tech Bloody B820R,58.90 €,σε 4 καταστήματα,5.0,1,LK Blue,0
Gembird KB-UML-01,15.10 €,σε 5 καταστήματα,4.0,6,Μεμβράνης,0
Roccat Suora FX,149.00 €,στο Bestdeals,5.0,2,Custom Mechanical,0
A4Tech Bloody B314,30.52 €,σε 2 καταστήματα,4.7,3,Custom Mechanical,0
Gamesir VX AimSwitch,119.90 €,στο Kooqie,5.0,1,Custom Blue,0
Redragon Aryaman K569,68.00 €,στο Hightech,5.0,1,Outemu Blue,0
A4Tech Bloody B975 (LK Libra Brown),77.90 €,σε 20 καταστήματα,5.0,1,LK Libra Brown,0
Logitech G910 Orion Spectrum,125.00 €,σε 4 καταστήματα,4.1,24,Romer-G Tactile,0
Motospeed K82 Pink (Outemu Red),44.00 €,σε 5 καταστήματα,4.8,12,Outemu Red,2
Gembird KB-UML3-01,8.72 €,σε 10 καταστήματα,3.8,6,Μεμβράνης,2
Motospeed CK101 White (Outemu Blue),39.60 €,σε 7 καταστήματα,4.0,22,Outemu Blue,2
MSI GK-701,119.00 €,σε 2 καταστήματα,5.0,2,Cherry MX Brown,0
Trust GXT 890,67.00 €,σε 3 καταστήματα,4.0,21,Outemu Red,0
SteelSeries Apex 3,78.90 €,σε 15 καταστήματα,0.0,,Μεμβράνης,0
Dell Alienware AW510K Lunar Light,134.37 €,σε 14 καταστήματα,0.0,,Cherry MX Red Low Profile,0
Redragon K576-R,46.90 €,στο Techaway,4.3,3,Custom Blue,0
A4Tech Bloody B860,59.90 €,σε 5 καταστήματα,5.0,1,LK Blue,0
Hori Tactical Assault Commander New Tac 4,99.64 €,σε 10 καταστήματα,4.5,2,Custom Mechanical,0
A4Tech Bloody B2278,29.90 €,σε 2 καταστήματα,4.2,5,Custom Mechanical,0
Motospeed CK95,45.50 €,στο Electro Market,4.2,5,Outemu Blue,0
Weibo WB-539,17.99 €,σε 5 καταστήματα,5.0,1,Μεμβράνης,0
CoolerMaster MasterKeys MK750,129.00 €,σε 4 καταστήματα,5.0,1,Cherry MX Brown,0
HP Pavilion Gaming Keyboard 500,43.67 €,σε 17 καταστήματα,3.0,3,Custom Red,0
Trust GXT 850 Metal,39.90 €,στο Mygad,4.7,3,Φωτιζόμενα Πλήκτρα,0
Redragon Yaksa,42.00 €,στο Hightech,4.7,3,Φωτιζόμενα Πλήκτρα,0
Cougar Puri TKL (Cherry MX White),80.90 €,στο PC1,5.0,1,Cherry MX White,0
Sharkoon PureWriter RGB (Kailh Red),79.12 €,σε 4 καταστήματα,4.5,2,Kailh Red,0
Sound Friend SF-K003,8.90 €,στο E-monster,5.0,2,Μεμβράνης,0
Armaggeddon Psych Raven,37.80 €,σε 14 καταστήματα,3.0,1,Custom Blue,0
SteelSeries Apex 150,69.00 €,σε 3 καταστήματα,4.1,7,Μεμβράνης,0
SteelSeries Apex 7 TKL (Steelseries Red),149.90 €,σε 10 καταστήματα,4.0,1,SteelSeries Red,0
A4Tech B3370R,34.49 €,στο Gamefreak,4.0,1,Custom Mechanical,0
SilentiumPC GK530 Tournament (Kailh Blue),51.00 €,στο Bitprice,0.0,,Kailh Blue,0
Redragon Yama,86.00 €,στο PcBonus,5.0,7,Custom Brown,0
Razer Cynosa Lite & Abyssus Lite Bundle,75.00 €,στο TonerHouse,4.0,3,Φωτιζόμενα Πλήκτρα,0
Zeroground KB-1500GUMS,35.00 €,στο NotesTechnologias,4.1,70,Φωτιζόμενα Πλήκτρα,0
Havit KB435L,49.00 €,σε 4 καταστήματα,4.0,2,Custom Mechanical,0
Motospeed CK666,42.19 €,σε 10 καταστήματα,3.8,18,Outemu Blue,0
Spirit of Gamer Pro Gaming Pack 3 in 1,30.70 €,σε 15 καταστήματα,0.0,,Μεμβράνης,0
Sandberg Hailstorm Mech Keyboard Uk,81.58 €,σε 5 καταστήματα,5.0,1,Outemu Blue,0
Spirit of Gamer CLA-XK500,44.50 €,σε 14 καταστήματα,0.0,,Custom Mechanical,0
Motospeed K83 (Outemu Red),32.68 €,σε 11 καταστήματα,3.7,29,Outemu Red,0
Q-801,17.77 €,σε 14 καταστήματα,3.5,2,Μεμβράνης,0
CoolerMaster Suppressor,39.80 €,στο PC1,4.3,24,Μεμβράνης,0
Fury Spitfire RGB,13.29 €,σε 6 καταστήματα,4.5,2,Μεμβράνης,0
Corsair K83 Wireless Entertainment,102.90 €,σε 13 καταστήματα,0.0,,Μεμβράνης,0
Armaggeddon AK-666SFX,17.50 €,σε 10 καταστήματα,4.0,2,Μεμβράνης,0
Genesis RHOD 110,8.99 €,σε 3 καταστήματα,5.0,1,Μεμβράνης,0
